lost_motif.x	gain_motif.x	lost_motif.y	gain_motif.y	lost_motif	gain_motif
AIRE_HUMAN.H11MO.0.C	1	0	0	0	0	0
ALX1,ALX3,ALX4,ALX4,PHOX2A,UNCX	0	0	0	0	2	0
ARID5B	0	0	0	1	0	1
ARNT,ARNTL,BHLHB9,BHLHE40,BHLHE40,BHLHE41,CLOCK,CREB3L1,CREB3L2,HES5,HES7,HEY1,HEY2,ID2,MAX,MITF,MLX,MNT,NPAS2,SREBF1,SREBF2,TFEB,TFE3,USF1,USF2,ARNTL	0	0	0	0	2	0
ASCL1,ASCL2,BHLHA15,MYOD1,MYOG,NHLH1,TCF12,TCF21,TCF3,TFAP4,TWIST1,ZBTB18,ZBTB18,ZNF99	2	1	1	1	4	4
ATF1,ATF2,ATF3,CREB1,CREM,FOSB,FOSB,FOSL1,FOSL1,FOSL2,FOSL2,FOSL2,JUNB,JUNB,JUNB,JUNB,JUND,JUND,JUN,JUN,JUN,JUN,JUN	0	0	0	0	0	1
ATF3,FOSB,FOSB,FOSL1,FOSL1,FOSL1,FOSL1,FOSL2,FOSL2,FOSL2,FOSL2,JDP2,JUNB,JUNB,JUNB,JUNB,JUNB,JUNB,JUND,JUND,JUND,JUND,JUN,JUN,JUN,JUN,JUN,JUN,NFE2L1,NFE2	0	0	0	0	3	1
BACH1,BACH1,BACH2,MAFK,MAF,NFE2L2,NFE2L2,NFE2,NFE2	0	0	1	0	1	0
BARHL2_MA0635.1	0	0	0	0	1	0
BARX1,ISL2,NKX3-2	0	0	0	0	1	0
BATF3_HUMAN.H11MO.0.B	0	0	0	0	2	2
BCL11A,IRF1,IRF2,IRF3,IRF4,IRF8,STAT1,STAT1,STAT2,STAT2	0	0	0	0	2	0
BCL6	0	0	1	0	1	0
BCL6B	0	0	0	0	1	0
CBFB	0	0	0	0	1	1
CDX1_HUMAN.H11MO.0.C	0	0	0	0	0	1
CEBPA,CEBPB,CEBPD,CEBPG,DBP,NFIL3,TEF	0	0	0	0	1	0
CEBPA,DDIT3	0	0	0	0	5	0
CENPB	0	0	0	0	2	0
CLOCK,HES1,HES2,MAX,MAX,MXI1,MYC,MYC,MYCN,TCFL5	0	0	0	0	2	0
CPEB1,HOXA13,RRM2	0	0	0	1	1	3
CTCF	0	0	0	0	1	0
CUX1	0	0	0	0	1	0
CUX1,CUX2,PAX3,PAX7,PAX9	0	0	0	0	0	1
CUX2	0	0	0	0	1	3
DMRT3_MA0610.1	0	0	0	0	0	1
E2F1,E2F2,E2F3,E2F4,E4F1	0	0	0	0	1	0
E2F1,E2F3,E2F4,E2F6,E2F7,TFDP1	0	0	0	0	1	0
E2F7,E2F8,E4F1	0	0	0	0	1	0
EBF1,EBF1,EBF4	0	0	1	0	0	0
EGR1,EGR2,EGR3,EGR4	0	0	0	0	0	2
EGR1,EGR2,KLF12,KLF1,KLF3,KLF4,KLF5,KLF6,PATZ1,RREB1,SALL4,SP1,SP2,SP3,SP4,SP5,VEZF1,ZBTB17,ZNF281	0	0	0	0	5	0
ELF1,ELF2,ELF3,ELF4,ELF5,ELK1,ELK3,ELK4,ERF,ETS1,ETS2,ETV1,ETV2,ETV3,ETV4,ETV5,ETV6,FLI1,GABPA,ZBTB7A	0	0	0	0	1	0
ESRRA,ESRRG,ESRRA,ESRRG	0	0	0	0	1	0
ESRRA,ESRRG,NR4A1,NR4A2,NR2C1,NR2F1,NR2F1,NR2F2,NR2F2,RARA,RARA,RARA,RARB,RARG,RORA,RXRA,RXRG	0	0	0	0	3	1
ETS2	1	0	0	0	1	0
EWSR1,FLI1	0	0	0	0	4	0
FOXB1_forkhead_1	0	1	0	0	1	0
FOXC1,FOXC2	0	0	0	0	1	0
FOXC1,FOXC2,FOXF2,FOXJ2,FOXJ3,FOXK1,FOXL1,FOXL2,FOXO1,FOXO3,FOXO4,FOXO6,FOXP2,FOXP3	0	0	0	0	1	0
FOXH1	0	0	0	0	1	0
FOXJ3,FOXK1	0	0	0	0	1	0
FOXO1,FOXO3,FOXO4,FOXO6	0	0	0	0	4	0
