KO	fold	active	final_sig
chr13:111864629-111864800::F2_0	0.281122116	0	0
chr6:113673626-113673797::F3_0	-0.078736531	0	0
chr4:74152831-74153002::F3_0	0.098918168	0	0
chr12:33136295-33136466::F1_0	-0.509818475	0	0
chr7:69942307-69942478::F3_0	-0.158658194	0	0
chr1:74892107-74892278::F3_0	0.071797736	0	0
chr7:79941424-79941595::F1_0	0.489977091	0	0
chr4:148231639-148231810::F3_0	-0.015948978	0	0
chr11:77801790-77801961::F3_0	0.100648795	0	0
chr10:85437686-85437857::F2_0	-0.026832248	0	0
chr20:49157636-49157807::F3_0	-0.966264574	1	1
chr1:41616766-41616937::F2_0	0.355673846	1	0
chr2:238027612-238027783::F3_0	-0.517975382	0	0
chr14:33030899-33031070::F3_0	0.590609417	0	0
chr1:101669803-101669974::F3_0	0.040273062	1	0
chr5:123932517-123932688::F1_0	-0.678833507	0	0
chr10:4111902-4112073::F3_0	0.043982592	1	0
chr18:25502209-25502380::F3_0	-0.388401974	0	0
chr3:34053580-34053751::F1_0	-0.008755496	0	0
chr6:1641825-1641996::F3_0	0.014592488	0	0
chr22:28309106-28309277::F1_0	-0.303646776	1	0
chr12:48246249-48246420::F3_0	0.070185944	0	0
chr18:25658885-25659056::F2_0	-0.079738139	0	0
chr4:122612090-122612261::F3_0	0.132672421	1	0
chr1:74891993-74892164::F2_0	0.291169905	1	0
chr20:49530618-49530789::F2_0	-1.233052903	0	0
chr3:82149507-82149678::F1_0	-0.005500252	0	0
chr11:77801676-77801847::F2_0	0.069471551	0	0
chr9:12973065-12973236::F2_0	0.200221694	0	0
chr8:134807070-134807241::F3_0	-0.065355794	1	0
chr6:53902347-53902518::F2_0	0.442705619	0	0
chr6:39745147-39745318::F2_0	1.097919762	1	2
chr4:186070611-186070782::F2_0	-0.023167075	0	0
chr3:34053695-34053866::F2_0	-0.159330089	0	0
chr5:38695612-38695783::F1_0	0.370156304	0	0
chr2:96917548-96917719::F2_0	-0.191471553	1	0
chr16:89545152-89545323::F1_0	-0.069656656	0	0
chr9:101837704-101837875::F2_0	0.079919334	1	0
chr1:41616651-41616822::F1_0	-0.321367515	0	0
chr10:3542555-3542726::F1_0	-0.269554437	1	0
chr14:33062688-33062859::F3_0	-0.251801586	0	0
chr11:13628333-13628504::F2_0	1.5501771	0	0
chr4:17273756-17273927::F1_0	0.686479137	1	2
chr1:6732815-6732986::F3_0	-0.078396944	1	0
chr18:25502095-25502266::F2_0	0.014163594	0	0
chr4:74152602-74152773::F1_0	0.457963059	1	0
chr3:135789804-135789975::F1_0	0.506481019	0	0
chr6:39745032-39745203::F1_0	0.212997045	0	0
chr16:51046417-51046588::F2_0	0.46703344	1	0
chr14:45535168-45535339::F2_0	-0.981268076	1	1
chr12:46849754-46849925::F3_0	0.682606145	1	2
chr3:141549370-141549541::F1_0	-0.43561804	1	0
chr22:28309335-28309506::F3_0	-0.097027981	0	0
chr8:30032324-30032495::F2_0	-0.043611901	0	0
chr3:141549485-141549656::F2_0	0.253888537	1	0
chr4:148344574-148344745::F3_0	0.538774952	0	0
chr6:21460108-21460279::F3_0	-0.067162863	0	0
chr2:84620694-84620865::F2_0	-0.926168623	1	1
chr2:72070451-72070622::F1_0	-0.525964144	0	0
chr7:47521725-47521896::F1_0	0.580961202	0	0
chr9:101837589-101837760::F1_0	-0.068957788	0	0
chr3:111454439-111454610::F3_0	-0.3700478	0	0
chr2:8749815-8749986::F3_0	-0.649324452	1	1
chr7:68802273-68802444::F3_0	0.556413478	0	0
chr6:6972700-6972871::F1_0	0.367216338	0	0
chr20:57024751-57024922::F1_0	0.638331562	0	0
chr21:39008862-39009033::F2_0	-0.758362819	1	1
chr10:4111673-4111844::F1_0	0.006470778	1	0
chr2:47925916-47926087::F2_0	0.38001669	1	0
chr10:35047312-35047483::F1_0	-0.931893102	0	0
chr2:30503529-30503700::F1_0	0.108412548	1	0
chr15:96808404-96808575::F3_0	-0.107099261	1	0
chr4:148231410-148231581::F1_0	-0.440646532	0	0
chr3:135789919-135790090::F2_0	-0.344038839	1	0
chr6:1884797-1884968::F3_0	-0.578054227	0	0
chr7:93870890-93871061::F2_0	-2.608603188	0	0
chr7:68802159-68802330::F2_0	-0.193359161	1	0
chr14:59536478-59536649::F3_0	-0.785213886	0	0
chr20:49039786-49039957::F2_0	1.077947003	1	2
chr7:133380991-133381162::F2_0	0.019213805	1	0
chr12:124515336-124515507::F3_0	-0.043671533	0	0
chr21:40297902-40298073::F1_0	-0.101390354	0	0
chr9:78979950-78980121::F1_0	-0.627961733	0	0
chr12:33136410-33136581::F2_0	-0.069013392	1	0
chr4:32027791-32027962::F2_0	1.706359248	1	2
chr8:30032209-30032380::F1_0	-0.405882841	1	0
chr4:77586893-77587064::F1_0	-0.138411081	1	0
chr12:33136524-33136695::F3_0	0.504107308	1	0
chr7:79941653-79941824::F3_0	0.32863243	1	0
chr15:96666221-96666392::F1_0	-0.567691867	0	0
chr1:147221306-147221477::F3_0	-0.130067981	0	0
chr9:11136165-11136336::F3_0	-0.9433006	1	1
chr4:90629925-90630096::F1_0	0.031481982	1	0
chr12:48246135-48246306::F2_0	-0.03874642	0	0
chr3:4872997-4873168::F2_0	-0.519607792	1	0
chr7:93871004-93871175::F3_0	0.293024158	1	0
chr20:49157522-49157693::F2_0	-0.225714037	1	0
chr11:20009212-20009383::F3_0	-0.314831893	1	0
chr18:25658999-25659170::F3_0	0.734629491	1	0
chr3:34053809-34053980::F3_0	0.766841817	0	0
chr20:57024866-57025037::F2_0	-0.031079346	0	0
chr4:186070725-186070896::F3_0	0.74414334	0	0
chr1:19734286-19734457::F2_0	-0.637232826	0	0
chr2:96917433-96917604::F1_0	0.688482804	0	0
chr12:124515222-124515393::F2_0	0.471079179	1	0
chr14:33030670-33030841::F1_0	-0.169411638	0	0
chr2:8749701-8749872::F2_0	0.384655648	1	0
chr9:78980065-78980236::F2_0	0.741304064	1	2
chr1:245748821-245748992::F3_0	-0.08812009	0	0
chr7:79917760-79917931::F1_0	0.161114907	0	0
chr12:124515107-124515278::F1_0	0.524324082	0	0
chr18:25658770-25658941::F1_0	0.949835628	0	0
chr15:30133105-30133276::F1_0	-0.001598964	0	0
chr4:148344460-148344631::F2_0	-0.051400382	0	0
chr15:96808290-96808461::F2_0	1.248548406	1	2
chr4:38062479-38062650::F2_0	-0.172504912	1	0
chr10:35047541-35047712::F3_0	0.259327218	0	0
chr1:120557270-120557441::F2_0	-0.062996231	0	0
chr3:82149736-82149907::F3_0	-0.028719496	1	0
chr20:49039671-49039842::F1_0	-0.018335459	0	0
chr4:77723926-77724097::F3_0	-0.742622522	0	0
chr8:30032438-30032609::F3_0	-0.85798055	0	0
chr2:96917662-96917833::F3_0	-0.012696347	1	0
chr12:48246020-48246191::F1_0	1.110840304	1	2
chr16:24680782-24680953::F1_0	0.146444294	0	0
chr15:96666450-96666621::F3_0	0.162448043	0	0
chr5:123932632-123932803::F2_0	-0.289662008	0	0
chr6:113846281-113846452::F1_0	-0.087834233	0	0
chr16:51046302-51046473::F1_0	0.139713296	0	0
chr15:30133334-30133505::F3_0	-0.879774864	0	0
chr3:4872882-4873053::F1_0	-0.283696185	0	0
chr2:145214261-145214432::F1_0	-0.211422352	0	0
chr3:141549599-141549770::F3_0	0.24480341	1	0
chr2:47925801-47925972::F1_0	-0.487325765	1	0
chr7:94682329-94682500::F3_0	0.56298524	0	0
chr11:85885320-85885491::F3_0	-0.569710046	0	0
chr2:145214376-145214547::F2_0	0.165200038	1	0
chr15:96808175-96808346::F1_0	0.606813356	0	0
chr11:85885206-85885377::F2_0	-0.074966862	0	0
chr1:243368246-243368417::F1_0	-0.415303551	0	0
chr9:137494462-137494633::F1_0	-0.53251418	0	0
chr4:74152717-74152888::F2_0	0.147091338	1	0
chr18:19791543-19791714::F1_0	0.20903324	0	0
chr9:11135936-11136107::F1_0	0.903758581	1	2
chr7:79941539-79941710::F2_0	-0.095098421	0	0
chr3:111454325-111454496::F2_0	0.550404604	1	0
chr1:245748707-245748878::F2_0	0.385836886	0	0
chr20:49039900-49040071::F3_0	-1.139520464	1	1
chr6:1884568-1884739::F1_0	0.410433296	0	0
chr13:111864514-111864685::F1_0	0.643508428	1	2
chr18:10040775-10040946::F2_0	-0.504317773	0	0
chr2:84620808-84620979::F3_0	-0.091651505	0	0
