KO	WT	KO_1	KO_2	KO_3	KO_4	WT_1	WT_2	WT_3	WT_4	mean_KO	mean_WT	pvalue	qvalue	active_WT	active_KO	fold	qvalue_0_05	fold_1_5	active	final_sig	final_sig_2
1	chr13:111864629-111864800::F2_0	chr13:111864629-111864800::F2_17	-0.212523854417142	-0.199608707406107	-0.0381178200794643	-0.201306631212348	-0.376126506280823	-0.478457984163084	-0.529381968486163	-0.388413177971223	-0.162889253278765	-0.443094909225323	0.00245746726604875	0.0109063615196664	0	0	0.280205655946558	1	0	0	0	0
2	chr6:113673626-113673797::F3_0	chr6:113673626-113673797::F3_17	-0.0383574645951619	0.147512374612172	0.139199992729462	-0.0956599537637531	-0.13600397957135	0.133132822426192	0.378191154490984	0.0764453427637026	0.0381737372456798	0.112941335027382	0.569072865182112	0.660705258781072	0	0	-0.0747675977817022	0	0	0	0	0
3	chr4:74152831-74153002::F3_0	chr4:74152831-74153002::F3_17	-0.135919541128506	-0.184120203212811	-0.337039386260779	-0.163969159457479	-0.256924614987154	-0.638686527930289	-0.278702505962552	-0.0652749455428959	-0.205262072514894	-0.309897148605723	0.460830075218066	0.567175477191466	0	0	0.104635076090829	0	0	0	0	0
4	chr12:33136295-33136466::F1_0	chr12:33136295-33136466::F1_17	-0.0810482460431974	-0.653355189541871	-0.583631182425621	-0.731063222049818	0.279115064222575	-0.333968976383986	0.0328516620862024	-0.0123912520717421	-0.512274460015127	-0.00859837553673767	0.0413479386276947	0.0881242822498891	0	0	-0.503676084478389	0	0	0	0	0
5	chr7:69942307-69942478::F3_0	chr7:69942307-69942478::F3_17	-0.105578494101856	-0.137308288332699	-0.092773301007678	-0.0247452565409576	0.0310677182237326	0.0729529608518991	0.455371148580038	-0.271001745094508	-0.0901013349957977	0.0720975206402904	0.357588277949647	0.465166382187545	0	0	-0.162198855636088	0	0	0	0	0
6	chr1:74892107-74892278::F3_0	chr1:74892107-74892278::F3_17	0.0952092987826623	0.0221762146203945	0.273720538220612	-0.00975408610819914	0.127125826018957	0.0853536601340451	-0.232328128141201	0.11840878961329	0.0953379913788674	0.0246400369062728	0.535177281765531	0.632192397523878	0	0	0.0706979544725946	0	0	0	0	0
7	chr7:79941424-79941595::F1_0	chr7:79941424-79941595::F1_17	-0.16384595930686	-0.381465268852777	-0.395568593678841	0.0187784424520759	-0.751435319216175	-0.393318724122739	-0.732116628435451	-0.969962987191551	-0.230525344846601	-0.711708414741479	0.0217201457427086	0.0538830425216792	0	0	0.481183069894878	0	0	0	0	0
8	chr4:148231639-148231810::F3_0	chr4:148231639-148231810::F3_17	-0.320007953078509	-0.129787048856316	-0.161301024083577	-0.0622225486531778	-0.0466533334986966	-0.202256930603241	-0.232684390524818	-0.117337921249572	-0.168329643667895	-0.149733143969082	0.797094905872299	0.85121579484574	0	0	-0.018596499698813	0	0	0	0	0
9	chr11:77801790-77801961::F3_0	chr11:77801790-77801961::F3_17	-0.226217390744328	0.163009991070209	0.198338231977401	0.247821096394378	-0.178393595690747	-0.00362624978461616	0.11958694202283	0.0505692618742287	0.095737982174415	-0.00296591039457611	0.469961428075428	0.575352998605243	0	0	0.0987038925689911	0	0	0	0	0
10	chr10:85437686-85437857::F2_0	chr10:85437686-85437857::F2_17	-0.165560059569021	-0.0704632203622361	-0.133652108746589	-0.11809784702963	-0.239649310129952	0.0181205096237864	-0.219708642279277	0.0537547697653307	-0.121943308926869	-0.096870668255028	0.771248554093919	0.832097157467827	0	0	-0.025072640671841	0	0	0	0	0
