motif_name	label_show	EMSA
ARNTL_bHLH_1:::d8_d17_noncoding_HHE:::chr6:113673397-113673797:::chr6:113673397-113673568	ARNT	0
ATF3_MOUSE.H11MO.0.A:::d8_d17_noncoding_HHE:::chr4:38062364-38062764:::chr4:38062479-38062650	ATF3	0
ATF4_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr4:17273756-17274156:::chr4:17273871-17274042	ATF4	0
BACH1_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr11:77801561-77801961:::chr11:77801561-77801732	BACH1	0
COT1_MOUSE.H11MO.0.B:::d8_d17_noncoding_HHE:::chr18:25501980-25502380:::chr18:25501980-25502151	ESRRA	0
COT1_MOUSE.H11MO.0.B:::d8_d17_noncoding_HHE:::chr7:133380876-133381276:::chr7:133381105-133381276	ESRRA	0
EHF_HUMAN.H11MO.0.B:::d8_d17_noncoding_HHE:::chr20:49039671-49040071:::chr20:49039900-49040071	ELF2	0
ERR2_MOUSE.H11MO.0.A:::d8_d17_noncoding_HHE:::chr16:10695646-10696046:::chr16:10695761-10695932	RARA	0
GATA4_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr12:51013005-51013405:::chr12:51013120-51013291	GATA1	0
GATA4_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr7:47521725-47522125:::chr7:47521840-47522011	GATA1	1
GATA4_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr9:137494462-137494862:::chr9:137494577-137494748	GATA1	0
HAND1_MOUSE.H11MO.0.C:::d8_d17_noncoding_HHE:::chr2:145214261-145214661:::chr2:145214376-145214547	HAND1	0
HIC1_HUMAN.H11MO.0.C:::d8_d17_noncoding_HHE:::chr15:99232807-99233207:::chr15:99232807-99232978	HIC1	0
HIC2_C2H2_1:::d8_d17_noncoding_HHE:::chr4:53791816-53792216:::chr4:53791816-53791987	HIC1	0
IRF4_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr7:68802044-68802444:::chr7:68802044-68802215	IRF1	0
MEF2A_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr1:74891878-74892278:::chr1:74892107-74892278	MEF2A	0
MEF2A_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr15:30133105-30133505:::chr15:30133220-30133391	MEF2A	0
MEF2A_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr9:71888037-71888437:::chr9:71888152-71888323	MEF2A	0
MEIS1_HUMAN.H11MO.0.A:::d8_d17_noncoding_HHE:::chr11:13628218-13628618:::chr11:13628333-13628504	MEIS1	0
MGA_TBX_2:::d8_d17_noncoding_HHE:::chr6:118857661-118858061:::chr6:118857661-118857832	MGA	0
MZF1_HUMAN.H11MO.0.B:::d8_d17_noncoding_HHE:::chr12:51013005-51013405:::chr12:51013120-51013291	MZF1	0
MZF1_HUMAN.H11MO.0.B:::d8_d17_noncoding_HHE:::chr21:39008747-39009147:::chr21:39008747-39008918	MZF1	0
