region	active	final_sig
chr10:100351342-100351513	1	2
chr10:100881728-100881899	0	0
chr10:101783919-101784090	1	1
chr10:101959870-101960041	0	0
chr10:102124319-102124490	1	0
chr10:102158807-102158978	0	0
chr10:102603228-102603399	0	0
chr10:102673140-102673311	0	0
chr10:103647700-103647871	0	0
chr10:103686987-103687158	0	0
chr10:103695890-103696061	1	0
chr10:103750533-103750704	0	0
chr10:103777246-103777417	0	0
chr10:104608979-104609150	1	0
chr10:104805726-104805897	1	2
chr10:106766022-106766193	1	1
chr10:107654240-107654411	0	0
chr10:10787763-10787934	1	2
chr10:10812424-10812595	0	0
chr10:109897369-109897540	0	0
chr10:110083258-110083429	1	0
chr10:110221793-110221964	1	0
chr10:110222231-110222402	0	0
chr10:110630026-110630197	1	0
chr10:11066749-11066920	0	0
chr10:110703493-110703664	1	0
chr10:110742265-110742436	1	0
chr10:110845744-110845915	0	0
chr10:11172537-11172708	0	0
chr10:111972350-111972521	0	0
chr10:113002073-113002244	0	0
chr10:113063864-113064035	0	0
chr10:113658645-113658816	0	0
chr10:114510168-114510339	0	0
chr10:116001376-116001547	0	0
chr10:117594418-117594589	0	0
chr10:11859571-11859742	0	0
chr10:118674406-118674577	0	0
chr10:118683914-118684085	0	0
chr10:119271146-119271317	1	0
chr10:119360470-119360641	0	0
chr10:119393525-119393696	0	0
chr10:119403167-119403338	0	0
chr10:119656522-119656693	1	0
chr10:119671810-119671981	1	0
chr10:119693396-119693567	1	0
chr10:120681101-120681272	0	0
chr10:12120996-12121167	0	0
chr10:121339824-121339995	0	0
chr10:121709799-121709970	0	0
chr10:121795089-121795260	0	0
chr10:12181775-12181946	0	0
chr10:121920778-121920949	0	0
chr10:121920980-121921151	0	0
chr10:122044186-122044357	1	0
chr10:122119403-122119574	1	0
chr10:122390887-122391058	1	0
chr10:124617065-124617236	0	0
chr10:124617742-124617913	0	0
chr10:124638761-124638932	1	0
chr10:124742146-124742317	0	0
chr10:124766969-124767140	0	0
chr10:125115641-125115812	1	0
chr10:125134516-125134687	1	0
chr10:125153287-125153458	0	0
chr10:125825547-125825718	1	1
chr10:126891653-126891824	1	0
chr10:126894703-126894874	1	0
chr10:129275605-129275776	0	0
chr10:130901559-130901730	0	0
chr10:130932856-130933027	1	2
chr10:131424080-131424251	1	0
chr10:131727134-131727305	1	0
chr10:132142536-132142707	0	0
chr10:132416598-132416769	0	0
chr10:132465618-132465789	0	0
chr10:132538842-132539013	0	0
chr10:132577711-132577882	0	0
chr10:132630055-132630226	0	0
chr10:132935241-132935412	0	0
chr10:133252827-133252998	0	0
chr10:13700209-13700380	1	2
chr10:13700655-13700826	1	2
chr10:13789463-13789634	0	0
chr10:14089345-14089516	1	0
chr10:14837900-14838071	0	0
chr10:14845341-14845512	0	0
chr10:14955434-14955605	0	0
chr10:1606683-1606854	0	0
chr10:16815792-16815963	0	0
chr10:16817121-16817292	1	2
chr10:16822466-16822637	0	0
chr10:16830011-16830182	0	0
chr10:16832275-16832446	0	0
chr10:17286564-17286735	0	0
chr10:18145433-18145604	1	0
chr10:1870870-1871041	1	0
chr10:18792898-18793069	1	0
chr10:20465029-20465200	0	0
chr10:20894142-20894313	1	0
chr10:20918665-20918836	1	2
chr10:22555227-22555398	1	2
chr10:26906695-26906866	1	0
chr10:27776736-27776902	0	0
chr10:27803570-27803741	1	0
chr10:29113534-29113705	1	1
chr10:29240725-29240896	1	0
chr10:29252874-29253045	1	0
chr10:29370145-29370316	1	2
chr10:29370311-29370482	0	0
chr10:3000018-3000189	0	0
chr10:30153812-30153983	0	0
chr10:30788500-30788671	1	1
chr10:30903792-30903963	1	0
chr10:3103737-3103908	1	2
chr10:3119338-3119509	0	0
chr10:3260712-3260883	0	0
chr10:34305949-34306120	0	0
chr10:34348550-34348721	1	0
chr10:34646611-34646782	0	0
chr10:3482530-3482701	0	0
chr10:35337389-35337560	0	0
chr10:35573393-35573564	0	0
chr10:36918386-36918557	1	0
chr10:3768243-3768414	0	0
chr10:44394232-44394403	0	0
chr10:44515120-44515291	0	0
chr10:44809217-44809388	0	0
chr10:48287771-48287942	1	1
chr10:50612317-50612488	1	0
chr10:50625700-50625871	1	0
chr10:511629-511800	1	0
chr10:5317429-5317600	1	2
chr10:5317834-5318005	0	0
chr10:54102642-54102813	0	0
chr10:556007-556178	1	0
chr10:56583379-56583550	1	0
chr10:57627943-57628114	0	0
chr10:59479525-59479696	0	0
chr10:60288297-60288468	1	0
chr10:60873217-60873388	1	0
chr10:6087800-6087971	0	0
chr10:6089306-6089477	0	0
chr10:60939275-60939446	1	0
chr10:61376978-61377149	0	0
chr10:61857971-61858142	1	0
chr10:63384765-63384936	1	2
chr10:66067432-66067603	0	0
chr10:67574197-67574368	1	0
chr10:67899514-67899685	0	0
chr10:68507982-68508153	0	0
chr10:68952025-68952196	0	0
chr10:69137577-69137748	0	0
chr10:69321711-69321882	0	0
chr10:69803921-69804092	1	0
chr10:70009482-70009653	1	0
chr10:70159337-70159508	0	0
chr10:70494450-70494621	0	0
chr10:70553347-70553518	1	0
chr10:70810636-70810807	0	0
chr10:70815195-70815366	0	0
chr10:71068826-71068997	1	0
chr10:71192259-71192430	0	0
chr10:71219637-71219808	1	0
chr10:71244819-71244990	0	0
chr10:71261266-71261437	1	0
chr10:72209391-72209562	0	0
chr10:72209747-72209918	0	0
chr10:72315980-72316151	1	2
chr10:73660338-73660509	0	0
chr10:73820870-73821041	1	1
chr10:73822549-73822720	0	0
chr10:75235721-75235892	0	0
chr10:75735680-75735851	0	0
chr10:78040647-78040818	0	0
chr10:78293062-78293233	0	0
chr10:79095619-79095790	0	0
chr10:79102352-79102523	0	0
chr10:79123683-79123854	0	0
chr10:79141688-79141859	0	0
chr10:79203163-79203334	0	0
chr10:80161238-80161409	1	0
chr10:80503967-80504138	0	0
chr10:81084081-81084252	0	0
chr10:819280-819451	1	1
chr10:85492362-85492533	0	0
chr10:86902743-86902914	1	0
chr10:87862439-87862610	0	0
chr10:87994201-87994372	1	0
chr10:88131976-88132147	1	0
chr10:89348149-89348320	0	0
chr10:90169468-90169639	0	0
chr10:90931093-90931264	1	0
chr10:91566286-91566457	1	0
chr10:91572590-91572761	1	0
chr10:91633100-91633271	0	0
chr10:92579472-92579643	0	0
chr10:92584144-92584315	1	2
chr10:93315489-93315660	1	2
chr10:94212029-94212200	1	2
chr10:95325931-95326102	0	0
chr10:95418372-95418543	0	0
chr10:95425285-95425456	1	0
chr10:95616512-95616683	0	0
chr10:95756645-95756816	1	2
chr10:97456881-97457052	1	2
chr10:98403219-98403390	0	0
chr10:99581070-99581241	0	0
chr10:99712806-99712977	0	0
chr1:100074672-100074843	0	0
chr1:10152519-10152690	0	0
chr1:10205410-10205581	0	0
chr1:103529935-103530106	0	0
chr1:104044947-104045118	0	0
chr1:10505724-10505895	0	0
chr1:10588562-10588733	1	0
chr1:106286907-106287078	0	0
chr1:1068546-1068717	0	0
chr1:10865684-10865855	1	0
chr1:109202387-109202558	0	0
chr1:109212694-109212865	0	0
chr1:109436859-109437030	0	0
chr1:109806174-109806345	1	2
chr1:109994499-109994670	0	0
chr11:100661314-100661485	0	0
chr1:110188890-110189061	1	0
chr11:102112522-102112693	0	0
chr11:102143406-102143577	1	1
chr11:10394877-10395048	0	0
chr1:11058213-11058384	0	0
chr11:106815820-106815991	0	0
chr11:107017640-107017811	0	0
chr11:107293801-107293972	1	0
chr11:107293803-107293974	0	0
chr11:107359090-107359261	0	0
chr11:108000177-108000348	0	0
chr11:112013576-112013747	1	0
chr11:112159176-112159347	0	0
chr11:11269490-11269661	0	0
chr11:112777658-112777829	1	0
chr11:112882919-112883090	1	0
