name	DNA1	DNA2	DNA3	DNA4	RNA1	RNA2	RNA3	RNA4	group	region_name	Coding
chr10:1001524-1001695::REF	123	107	103	89	104	87	94	102	REF	chr10:1001524-1001695	FALSE
chr10:100334189-100334360::REF	164	118	139	182	152	136	95	157	REF	chr10:100334189-100334360	FALSE
chr10:100351342-100351513::REF	299	210	204	241	268	213	211	267	REF	chr10:100351342-100351513	FALSE
chr10:100881728-100881899::REF	345	304	297	344	405	304	290	378	REF	chr10:100881728-100881899	FALSE
chr10:101224431-101224602::REF	8	4	0	5	4	3	0	0	REF	chr10:101224431-101224602	FALSE
chr10:101771432-101771603::REF	632	516	589	560	298	240	267	292	REF	chr10:101771432-101771603	TRUE
chr10:101783919-101784090::REF	748	650	621	684	1223	1004	887	1157	REF	chr10:101783919-101784090	FALSE
chr10:101785863-101786034::REF	228	183	214	218	220	199	174	267	REF	chr10:101785863-101786034	FALSE
chr10:101959870-101960041::REF	306	284	307	324	359	269	248	312	REF	chr10:101959870-101960041	FALSE
chr10:102110875-102111046::REF	455	382	338	411	557	424	385	555	REF	chr10:102110875-102111046	TRUE
chr10:102124319-102124490::REF	831	693	687	808	910	849	682	853	REF	chr10:102124319-102124490	FALSE
chr10:102158807-102158978::REF	323	255	290	336	287	259	236	242	REF	chr10:102158807-102158978	FALSE
chr10:102259788-102259959::REF	34	32	26	38	44	61	38	70	REF	chr10:102259788-102259959	FALSE
chr10:102603228-102603399::REF	518	488	475	502	599	435	460	586	REF	chr10:102603228-102603399	FALSE
chr10:102673140-102673311::REF	206	198	196	201	183	153	143	198	REF	chr10:102673140-102673311	FALSE
chr10:102756098-102756269::REF	106	89	115	116	103	93	87	63	REF	chr10:102756098-102756269	FALSE
chr10:103450654-103450825::REF	105	70	91	99	87	93	65	76	REF	chr10:103450654-103450825	FALSE
chr10:103581819-103581990::REF	126	100	104	113	114	87	67	105	REF	chr10:103581819-103581990	FALSE
chr10:103647700-103647871::REF	184	183	162	184	145	148	118	142	REF	chr10:103647700-103647871	FALSE
chr10:103686987-103687158::REF	394	335	315	361	408	319	239	427	REF	chr10:103686987-103687158	FALSE
chr10:103695890-103696061::REF	846	719	726	868	963	774	759	845	REF	chr10:103695890-103696061	FALSE
chr10:103750533-103750704::REF	521	492	440	473	572	505	443	502	REF	chr10:103750533-103750704	FALSE
chr10:103777246-103777417::REF	461	365	350	465	346	351	299	406	REF	chr10:103777246-103777417	FALSE
chr10:103952326-103952497::REF	74	57	57	65	65	56	49	70	REF	chr10:103952326-103952497	FALSE
chr10:104608979-104609150::REF	936	730	787	874	927	752	691	901	REF	chr10:104608979-104609150	FALSE
chr10:104805726-104805897::REF	355	273	274	313	362	303	229	345	REF	chr10:104805726-104805897	FALSE
chr10:106301271-106301442::REF	167	122	121	137	151	142	120	237	REF	chr10:106301271-106301442	FALSE
chr10:106766022-106766193::REF	664	521	525	594	927	752	770	1015	REF	chr10:106766022-106766193	FALSE
chr10:107373375-107373546::REF	461	372	410	419	400	294	285	332	REF	chr10:107373375-107373546	FALSE
chr10:107654240-107654411::REF	547	428	435	509	580	503	385	526	REF	chr10:107654240-107654411	FALSE
chr10:10787763-10787934::REF	341	307	292	358	159	132	122	213	REF	chr10:10787763-10787934	FALSE
chr10:10812424-10812595::REF	516	437	445	497	475	347	293	465	REF	chr10:10812424-10812595	FALSE
chr10:10873384-10873555::REF	99	98	95	102	78	82	93	116	REF	chr10:10873384-10873555	FALSE
chr10:109897369-109897540::REF	198	179	203	211	259	181	166	202	REF	chr10:109897369-109897540	FALSE
chr10:110023831-110024002::REF	246	228	196	228	234	215	168	277	REF	chr10:110023831-110024002	FALSE
chr10:110069283-110069454::REF	96	77	83	85	77	88	71	101	REF	chr10:110069283-110069454	FALSE
chr10:110074896-110075067::REF	68	59	65	65	53	55	44	67	REF	chr10:110074896-110075067	FALSE
chr10:110083258-110083429::REF	257	231	222	246	465	332	298	410	REF	chr10:110083258-110083429	FALSE
chr10:110221793-110221964::REF	1189	1063	1061	1206	1568	1306	1133	1367	REF	chr10:110221793-110221964	FALSE
chr10:110222231-110222402::REF	311	257	249	313	280	266	212	321	REF	chr10:110222231-110222402	FALSE
chr10:110630026-110630197::REF	316	230	266	319	382	286	283	350	REF	chr10:110630026-110630197	FALSE
chr10:11066749-11066920::REF	674	560	576	616	616	643	487	592	REF	chr10:11066749-11066920	FALSE
chr10:110703493-110703664::REF	159	161	169	197	194	145	110	142	REF	chr10:110703493-110703664	FALSE
chr10:110742265-110742436::REF	499	349	365	445	736	630	524	648	REF	chr10:110742265-110742436	FALSE
chr10:110845744-110845915::REF	579	454	509	570	580	458	371	588	REF	chr10:110845744-110845915	FALSE
chr10:11161474-11161645::REF	394	382	332	404	442	418	350	459	REF	chr10:11161474-11161645	FALSE
chr10:11172537-11172708::REF	223	188	213	212	206	131	108	194	REF	chr10:11172537-11172708	FALSE
chr10:11193053-11193224::REF	31	45	40	53	54	47	27	63	REF	chr10:11193053-11193224	FALSE
chr10:111972350-111972521::REF	583	543	521	624	664	471	388	564	REF	chr10:111972350-111972521	FALSE
chr10:112985370-112985541::REF	62	36	42	51	125	79	49	73	REF	chr10:112985370-112985541	FALSE
chr10:113002073-113002244::REF	370	287	280	345	292	314	309	327	REF	chr10:113002073-113002244	FALSE
chr10:113063864-113064035::REF	397	304	366	364	368	311	238	318	REF	chr10:113063864-113064035	FALSE
chr10:113488420-113488591::REF	238	227	219	239	210	133	129	184	REF	chr10:113488420-113488591	FALSE
chr10:113658645-113658816::REF	278	185	188	238	241	199	184	262	REF	chr10:113658645-113658816	FALSE
chr10:114441213-114441384::REF	92	64	81	91	75	66	48	72	REF	chr10:114441213-114441384	FALSE
chr10:114455501-114455672::REF	56	56	57	45	38	17	27	23	REF	chr10:114455501-114455672	FALSE
chr10:114510168-114510339::REF	567	448	444	506	159	126	96	124	REF	chr10:114510168-114510339	FALSE
chr10:116001376-116001547::REF	578	521	523	525	513	430	364	499	REF	chr10:116001376-116001547	FALSE
chr10:116742219-116742390::REF	26	25	23	13	22	22	22	13	REF	chr10:116742219-116742390	FALSE
chr10:117594418-117594589::REF	209	149	162	181	177	162	107	179	REF	chr10:117594418-117594589	FALSE
chr10:11859571-11859742::REF	359	309	299	357	318	318	217	308	REF	chr10:11859571-11859742	FALSE
chr10:118674406-118674577::REF	461	425	499	460	431	461	381	510	REF	chr10:118674406-118674577	FALSE
chr10:118683914-118684085::REF	266	235	244	232	262	198	182	210	REF	chr10:118683914-118684085	FALSE
chr10:11872129-11872300::REF	160	135	142	148	172	148	154	156	REF	chr10:11872129-11872300	FALSE
chr10:119185789-119185960::REF	169	175	165	173	241	171	158	203	REF	chr10:119185789-119185960	FALSE
chr10:119271146-119271317::REF	1245	986	1037	1170	1471	1168	1169	1417	REF	chr10:119271146-119271317	FALSE
chr10:119286433-119286604::REF	69	55	48	52	76	48	73	84	REF	chr10:119286433-119286604	FALSE
chr10:119360470-119360641::REF	196	168	158	201	260	163	178	209	REF	chr10:119360470-119360641	FALSE
chr10:119393525-119393696::REF	723	640	638	702	622	636	504	650	REF	chr10:119393525-119393696	FALSE
chr10:119403167-119403338::REF	466	368	360	444	382	296	315	382	REF	chr10:119403167-119403338	FALSE
chr10:119576883-119577054::REF	70	62	54	62	102	65	70	106	REF	chr10:119576883-119577054	FALSE
chr10:119656522-119656693::REF	210	175	186	224	248	207	230	277	REF	chr10:119656522-119656693	FALSE
chr10:119671810-119671981::REF	369	321	304	332	350	418	275	402	REF	chr10:119671810-119671981	FALSE
chr10:119693396-119693567::REF	717	582	514	629	717	693	567	759	REF	chr10:119693396-119693567	FALSE
chr10:119866706-119866877::REF	239	192	222	217	198	174	171	245	REF	chr10:119866706-119866877	FALSE
chr10:120681101-120681272::REF	193	138	190	180	190	182	140	165	REF	chr10:120681101-120681272	FALSE
chr10:12120996-12121167::REF	363	325	291	364	370	307	253	351	REF	chr10:12120996-12121167	FALSE
chr10:121339824-121339995::REF	208	194	177	221	213	146	155	224	REF	chr10:121339824-121339995	FALSE
chr10:121709799-121709970::REF	167	147	153	145	170	146	128	145	REF	chr10:121709799-121709970	FALSE
chr10:121795089-121795260::REF	156	123	162	178	153	137	144	154	REF	chr10:121795089-121795260	FALSE
chr10:12181775-12181946::REF	338	333	279	350	331	294	275	337	REF	chr10:12181775-12181946	FALSE
chr10:121920778-121920949::REF	138	127	148	143	149	113	104	150	REF	chr10:121920778-121920949	FALSE
chr10:121920980-121921151::REF	315	255	234	272	261	221	171	212	REF	chr10:121920980-121921151	FALSE
chr10:121921729-121921900::REF	65	42	40	68	72	45	49	60	REF	chr10:121921729-121921900	FALSE
chr10:122044186-122044357::REF	262	257	261	292	373	268	294	315	REF	chr10:122044186-122044357	FALSE
chr10:122119403-122119574::REF	315	272	277	274	313	282	238	332	REF	chr10:122119403-122119574	FALSE
chr10:122390887-122391058::REF	420	399	343	398	323	257	223	304	REF	chr10:122390887-122391058	FALSE
chr10:122994085-122994256::REF	416	353	360	444	364	294	258	360	REF	chr10:122994085-122994256	TRUE
chr10:123014422-123014593::REF	229	219	217	225	196	153	142	171	REF	chr10:123014422-123014593	FALSE
chr10:123732325-123732496::REF	184	125	136	155	210	123	118	141	REF	chr10:123732325-123732496	FALSE
chr10:124465467-124465638::REF	96	75	60	105	109	85	85	129	REF	chr10:124465467-124465638	FALSE
chr10:124617065-124617236::REF	691	560	619	715	690	553	512	687	REF	chr10:124617065-124617236	FALSE
chr10:124617742-124617913::REF	361	348	371	407	273	195	205	274	REF	chr10:124617742-124617913	FALSE
chr10:124638761-124638932::REF	700	585	602	717	1108	893	822	1041	REF	chr10:124638761-124638932	FALSE
chr10:124647334-124647505::REF	57	53	51	51	42	36	44	34	REF	chr10:124647334-124647505	FALSE
chr10:124742146-124742317::REF	304	264	247	266	316	226	207	261	REF	chr10:124742146-124742317	FALSE
chr10:124766969-124767140::REF	419	350	369	352	430	369	291	343	REF	chr10:124766969-124767140	FALSE
chr10:125011639-125011810::REF	361	315	304	348	525	409	354	492	REF	chr10:125011639-125011810	FALSE
chr10:125113944-125114115::REF	143	142	139	117	161	133	116	131	REF	chr10:125113944-125114115	FALSE
chr10:125115641-125115812::REF	223	178	180	187	186	164	162	168	REF	chr10:125115641-125115812	FALSE
chr10:125134516-125134687::REF	586	550	583	628	759	652	535	723	REF	chr10:125134516-125134687	FALSE
chr10:125153287-125153458::REF	342	311	248	354	338	271	314	335	REF	chr10:125153287-125153458	FALSE
chr10:125818122-125818293::REF	143	103	113	134	149	80	101	122	REF	chr10:125818122-125818293	FALSE
chr10:125825547-125825718::REF	524	437	397	456	972	722	853	953	REF	chr10:125825547-125825718	FALSE
chr10:126891653-126891824::REF	559	420	445	496	589	378	397	485	REF	chr10:126891653-126891824	FALSE
chr10:126894703-126894874::REF	698	671	612	752	909	761	670	905	REF	chr10:126894703-126894874	FALSE
chr10:126900798-126900969::REF	124	95	111	102	110	134	100	107	REF	chr10:126900798-126900969	FALSE
chr10:129132994-129133165::REF	138	98	98	99	153	110	85	100	REF	chr10:129132994-129133165	FALSE
chr10:129274532-129274703::REF	302	277	280	338	398	383	299	389	REF	chr10:129274532-129274703	FALSE
chr10:129275605-129275776::REF	334	244	279	270	348	285	221	304	REF	chr10:129275605-129275776	FALSE
chr10:130901559-130901730::REF	1369	1142	1193	1291	1230	1028	885	1107	REF	chr10:130901559-130901730	FALSE
chr10:130932856-130933027::REF	684	612	637	599	320	277	202	265	REF	chr10:130932856-130933027	FALSE
chr10:131082166-131082337::REF	128	81	85	104	122	88	85	136	REF	chr10:131082166-131082337	FALSE
chr10:131424080-131424251::REF	464	418	446	491	590	479	435	616	REF	chr10:131424080-131424251	FALSE
chr10:131727134-131727305::REF	1336	1204	1173	1304	1903	1830	1494	2142	REF	chr10:131727134-131727305	FALSE
chr10:132142536-132142707::REF	388	329	365	345	180	139	125	130	REF	chr10:132142536-132142707	FALSE
chr10:132337996-132338167::REF	58	56	50	49	64	34	63	54	REF	chr10:132337996-132338167	FALSE
chr10:132416598-132416769::REF	590	492	521	573	622	457	422	498	REF	chr10:132416598-132416769	FALSE
chr10:132465618-132465789::REF	549	483	429	520	368	349	309	369	REF	chr10:132465618-132465789	FALSE
chr10:132538842-132539013::REF	237	242	159	226	242	164	174	208	REF	chr10:132538842-132539013	FALSE
chr10:132577711-132577882::REF	1473	1279	1258	1415	1499	1210	1057	1426	REF	chr10:132577711-132577882	FALSE
chr10:132630055-132630226::REF	758	700	675	760	765	668	554	770	REF	chr10:132630055-132630226	FALSE
chr10:132935241-132935412::REF	884	756	711	837	788	713	590	886	REF	chr10:132935241-132935412	FALSE
chr10:133252827-133252998::REF	177	168	173	181	194	211	179	166	REF	chr10:133252827-133252998	FALSE
chr10:135269-135440::REF	82	75	67	67	98	53	60	107	REF	chr10:135269-135440	FALSE
chr10:13700209-13700380::REF	278	236	272	261	248	217	202	254	REF	chr10:13700209-13700380	FALSE
chr10:13700655-13700826::REF	522	426	525	485	299	260	205	205	REF	chr10:13700655-13700826	FALSE
chr10:137510-137681::REF	66	55	59	55	71	64	59	76	REF	chr10:137510-137681	FALSE
chr10:13789463-13789634::REF	199	147	173	190	214	158	151	234	REF	chr10:13789463-13789634	FALSE
chr10:14089345-14089516::REF	1113	958	1085	1096	1742	1551	1301	1534	REF	chr10:14089345-14089516	FALSE
chr10:14612095-14612262::REF	26	38	20	30	40	18	30	37	REF	chr10:14612095-14612262	FALSE
chr10:14837900-14838071::REF	322	278	274	339	262	213	151	254	REF	chr10:14837900-14838071	FALSE
chr10:14845341-14845512::REF	244	223	219	264	282	165	154	195	REF	chr10:14845341-14845512	FALSE
chr10:14955434-14955605::REF	152	137	135	150	125	108	84	126	REF	chr10:14955434-14955605	FALSE
chr10:15300995-15301166::REF	188	169	172	177	237	166	177	220	REF	chr10:15300995-15301166	FALSE
chr10:15322696-15322867::REF	113	95	103	125	151	111	93	125	REF	chr10:15322696-15322867	FALSE
chr10:1606683-1606854::REF	325	284	323	303	334	267	229	326	REF	chr10:1606683-1606854	FALSE
chr10:16815792-16815963::REF	333	275	325	351	272	267	232	367	REF	chr10:16815792-16815963	FALSE
chr10:16817121-16817292::REF	560	462	474	499	379	350	327	398	REF	chr10:16817121-16817292	FALSE
chr10:16822466-16822637::REF	228	186	183	190	220	203	136	173	REF	chr10:16822466-16822637	FALSE
chr10:16830011-16830182::REF	352	278	287	336	368	272	295	383	REF	chr10:16830011-16830182	FALSE
chr10:16832275-16832446::REF	219	181	190	226	207	240	146	210	REF	chr10:16832275-16832446	FALSE
chr10:16997347-16997518::REF	364	347	296	308	410	329	286	366	REF	chr10:16997347-16997518	FALSE
chr10:17286564-17286735::REF	175	154	165	151	155	111	113	158	REF	chr10:17286564-17286735	FALSE
chr10:18145433-18145604::REF	136	107	128	133	134	131	123	149	REF	chr10:18145433-18145604	FALSE
chr10:1870870-1871041::REF	457	368	352	441	540	449	387	514	REF	chr10:1870870-1871041	FALSE
chr10:18792898-18793069::REF	379	305	315	322	504	474	422	493	REF	chr10:18792898-18793069	FALSE
chr10:20340223-20340394::REF	111	76	79	90	141	87	89	100	REF	chr10:20340223-20340394	FALSE
chr10:20465029-20465200::REF	199	171	173	181	201	152	124	141	REF	chr10:20465029-20465200	FALSE
chr10:20812551-20812722::REF	73	62	60	74	75	52	47	84	REF	chr10:20812551-20812722	FALSE
chr10:20894142-20894313::REF	172	125	141	141	195	163	146	208	REF	chr10:20894142-20894313	FALSE
chr10:20918665-20918836::REF	362	310	335	375	219	159	127	175	REF	chr10:20918665-20918836	FALSE
chr10:21663782-21663953::REF	6	10	8	5	8	23	15	8	REF	chr10:21663782-21663953	FALSE
chr10:22555227-22555398::REF	1035	932	1026	1042	1146	918	797	1038	REF	chr10:22555227-22555398	FALSE
chr10:23305406-23305577::REF	57	45	46	47	48	45	49	60	REF	chr10:23305406-23305577	FALSE
chr10:24590810-24590981::REF	71	50	67	55	78	39	43	68	REF	chr10:24590810-24590981	FALSE
chr10:2485934-2486105::REF	134	121	90	123	137	138	100	115	REF	chr10:2485934-2486105	FALSE
chr10:26530371-26530542::REF	86	83	82	91	72	66	60	65	REF	chr10:26530371-26530542	FALSE
chr10:26793397-26793568::REF	180	151	136	185	214	140	139	187	REF	chr10:26793397-26793568	FALSE
chr10:26906695-26906866::REF	331	292	248	309	537	385	377	436	REF	chr10:26906695-26906866	FALSE
chr10:27776736-27776902::REF	203	193	201	211	227	185	188	251	REF	chr10:27776736-27776902	FALSE
chr10:27803570-27803741::REF	686	554	571	665	967	818	695	914	REF	chr10:27803570-27803741	FALSE
chr10:28536634-28536805::REF	97	96	132	140	127	97	87	114	REF	chr10:28536634-28536805	FALSE
chr10:29113534-29113705::REF	396	344	350	395	485	430	336	404	REF	chr10:29113534-29113705	FALSE
chr10:29240725-29240896::REF	540	506	499	556	722	552	467	644	REF	chr10:29240725-29240896	FALSE
chr10:29252874-29253045::REF	811	739	683	844	956	742	703	900	REF	chr10:29252874-29253045	FALSE
chr10:29370145-29370316::REF	193	201	154	209	161	113	133	143	REF	chr10:29370145-29370316	FALSE
chr10:29370311-29370482::REF	353	317	343	358	221	208	150	263	REF	chr10:29370311-29370482	FALSE
chr10:29542095-29542266::REF	58	36	51	48	67	67	42	47	REF	chr10:29542095-29542266	FALSE
chr10:29601285-29601456::REF	109	95	105	121	108	78	83	132	REF	chr10:29601285-29601456	FALSE
chr10:3000018-3000189::REF	394	371	332	389	376	307	259	287	REF	chr10:3000018-3000189	FALSE
chr10:30153812-30153983::REF	706	569	547	660	546	428	415	450	REF	chr10:30153812-30153983	FALSE
chr10:3054802-3054973::REF	124	102	104	104	107	108	96	139	REF	chr10:3054802-3054973	FALSE
chr10:3054808-3054979::REF	75	73	53	87	77	56	78	89	REF	chr10:3054808-3054979	FALSE
chr10:30788500-30788671::REF	318	271	261	307	530	424	376	556	REF	chr10:30788500-30788671	FALSE
chr10:30903792-30903963::REF	184	179	181	209	254	196	164	259	REF	chr10:30903792-30903963	FALSE
chr10:3099094-3099265::REF	373	310	310	322	473	441	408	411	REF	chr10:3099094-3099265	FALSE
chr10:3103737-3103908::REF	456	349	366	412	422	362	290	395	REF	chr10:3103737-3103908	FALSE
chr10:3119338-3119509::REF	681	561	593	592	660	565	583	679	REF	chr10:3119338-3119509	FALSE
chr10:3130250-3130421::REF	114	97	103	125	124	123	97	156	REF	chr10:3130250-3130421	FALSE
chr10:32021042-32021213::REF	75	79	78	89	84	74	85	86	REF	chr10:32021042-32021213	TRUE
chr10:3260712-3260883::REF	240	217	204	226	186	209	160	225	REF	chr10:3260712-3260883	FALSE
chr10:33301237-33301408::REF	91	92	80	103	99	71	58	85	REF	chr10:33301237-33301408	FALSE
chr10:33324525-33324696::REF	187	163	154	184	218	200	152	195	REF	chr10:33324525-33324696	FALSE
