RNA1_ratio_scaled_ALT	RNA2_ratio_scaled_ALT	RNA3_ratio_scaled_ALT	RNA4_ratio_scaled_ALT	Coding_ALT	Active_ALT	RNA1_ratio_scaled_REF	RNA2_ratio_scaled_REF	RNA3_ratio_scaled_REF	RNA4_ratio_scaled_REF	Coding_REF	Active_REF	C1	C2	qvalue	pvalue	REF	ALT	fold	qvalue_0_05	fold_1_5	active	final_sig
chr10:100351342-100351513	0.794411661815595	0.916392073068457	1.17326682544925	1.11623299711059	FALSE	1	-0.194851646756504	0.0270425601741622	0.200407583481786	0.096336527523998	FALSE	0	0.0322337561058605	0.0322337561058605	0.00221327782673316	0.0002097434140621	0.0322337561058605	1.00007588936097	0.967842133255113	1	2	1	2
chr10:100881728-100881899	-0.96232413645373	-0.620920944755169	-0.827261377601705	-1.04245391207797	FALSE	0	0.18527148403406	0.008548564654503	0.128423558589447	0.087188410394271	FALSE	0	0.10235800441807	0.10235800441807	0.00451636534649607	0.000667509842541845	0.10235800441807	-0.863240092722144	-0.965598097140214	1	1	0	0
chr10:101783919-101784090	0.0813379751950841	-0.0512126088868919	0.0297816242904036	0.0599267904888516	FALSE	0	0.659546444796676	0.587180057947159	0.618550649922901	0.607410630883015	FALSE	1	0.618171945887438	0.618171945887438	0.000643394723311355	2.19558263892277e-05	0.618171945887438	0.0299584452718618	-0.588213500615576	1	1	1	1
chr10:101959870-101960041	-0.211027430444289	-0.181003795041674	0.193414577866246	-0.031668270513544	FALSE	0	0.184047149335247	-0.0628305112517904	-0.112780851090434	-0.0701317238985593	FALSE	0	-0.015423984226384	-0.015423984226384	0.797026662645331	0.726273776982787	-0.015423984226384	-0.0575712295333152	-0.0421472453069311	0	0	0	0
chr10:102124319-102124490	-0.263056398487761	0.0357032175871169	-0.12248436315659	0.132810355903006	FALSE	0	0.087846870121022	0.278720763151635	0.15086066252225	0.0397537003432194	FALSE	1	0.139295499034531	0.139295499034531	0.194191643119355	0.116103050636036	0.139295499034531	-0.0542567970385573	-0.193552296073089	0	0	1	0
chr10:102158807-102158978	-0.0102549614087907	-0.102738381432519	0.23114107895122	0.0874974148333518	FALSE	0	-0.207398455437863	0.0289659991327843	-0.103312874576866	-0.415012700283889	FALSE	0	-0.174189507791459	-0.174189507791459	0.182839854905371	0.10741894173366	-0.174189507791459	0.0514112877358154	0.225600795527274	0	0	0	0
chr10:102603228-102603399	-0.430837199677973	-0.00668603868318669	-0.164987579949393	-0.11970579642084	FALSE	0	0.164855408486101	-0.143691860711586	0.118641598808329	0.160161699776026	FALSE	0	0.0749917115897176	0.0749917115897176	0.133595820661693	0.0718035180914012	0.0749917115897176	-0.180554153682848	-0.255545865272566	0	0	0	0
chr10:102673140-102673311	0.266090718171332	-0.157915178265698	0.30320903403569	-0.17773314252252	FALSE	0	-0.205465702441928	-0.327114233169941	-0.239667466898401	-0.0426573998310354	FALSE	0	-0.203726200585327	-0.203726200585327	0.223888714523692	0.139123838054266	-0.203726200585327	0.0584128578547012	0.262139058440028	0	0	0	0
chr10:103647700-103647871	-0.747431130578479	-0.657404137755921	-0.61021246928362	-0.539807961110468	FALSE	0	-0.370175371244908	-0.267400042174864	-0.240331836636969	-0.328039997540621	FALSE	0	-0.30148681189934	-0.30148681189934	0.00616153922708731	0.00112518770298666	-0.30148681189934	-0.638713924682122	-0.337227112782782	1	0	0	0
chr10:103686987-103687158	-0.430484111318664	0.0866747535362907	-0.316749246321926	-0.161739620951586	FALSE	0	0.00810964216106487	-0.0559830450493622	-0.192483870945838	0.175277935484314	FALSE	0	-0.0162698345874554	-0.0162698345874554	0.318342168944911	0.21800236148637	-0.0162698345874554	-0.205574556263971	-0.189304721676516	0	0	0	0
