"DNA.1" "DNA.2" "DNA.3" "DNA.4" "DNA.5" "DNA.6" "RNA.1" "RNA.2" "RNA.3" "RNA.4" "RNA.5" "RNA.6" "group" "group2" "group3"
"chr10:101210643-101211043" 854 614 719 805 972 864 2578 2536 1181 1102 784 1678 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:102118755-102119155" 815 753 790 949 976 908 2059 2041 1075 1166 1032 1526 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:103326339-103326739" 2007 1057 1730 1792 1922 2298 28 28 17 26 9 31 "d0_noncoding" "Neg" "Neg_1"
"chr10:104040345-104040745" 598 292 342 502 648 599 460 554 260 242 334 403 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:104073024-104073424" 1100 762 873 1163 1392 1164 1037 972 480 459 468 714 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:104102221-104102621" 230 136 161 200 252 253 127 109 75 58 45 79 "d0_noncoding" "Neg" "Neg_1"
"chr10:104325550-104325950" 3338 1918 2643 3327 4002 3332 3328 3152 1809 1685 1917 3307 "d0_noncoding" "Neg" "Neg_1"
"chr10:104518379-104518779" 1803 903 1320 1639 2083 1921 442 414 282 218 216 473 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:105480264-105480664" 4156 1896 2977 3722 5133 4386 2890 2422 1573 1324 889 3397 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:110342148-110342548" 615 464 585 703 853 728 554 630 350 259 391 437 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:110357746-110358146" 369 295 385 460 483 420 1162 1266 681 597 722 963 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:110358631-110359031" 399 294 261 371 455 308 875 844 439 334 577 569 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:110636948-110637348" 1920 1756 2000 2482 2519 2024 6356 6406 2842 3084 3420 4070 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111042295-111042695" 61 20 38 46 56 60 88 78 37 24 35 57 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111066161-111066561" 436 127 229 292 418 387 977 733 583 482 598 701 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
"chr10:111066904-111067304" 79 35 77 74 102 79 17 25 17 7 5 11 "d8_d17_noncoding_HHE" "HHE_ATAC+" "HHE_ATAC+"
